Iteration: 00000900/00170000  content_loss:0.0000  lap_loss:0.0555  rec_loss:0.0760  style_loss:1.0548  loss_tmp:0.0000  loss_tmp_GT:0.0000
Iteration: 00000910/00170000  content_loss:0.0000  lap_loss:0.0792  rec_loss:0.0680  style_loss:1.5060  loss_tmp:0.0000  loss_tmp_GT:0.0000
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Iteration: 00000920/00170000  content_loss:0.0000  lap_loss:0.0333  rec_loss:0.0300  style_loss:0.6324  loss_tmp:0.0000  loss_tmp_GT:0.0000
Iteration: 00000930/00170000  content_loss:0.0000  lap_loss:0.0278  rec_loss:0.0412  style_loss:0.7234  loss_tmp:0.0000  loss_tmp_GT:0.0000
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Iteration: 00000940/00170000  content_loss:0.0000  lap_loss:0.0195  rec_loss:0.0325  style_loss:0.6434  loss_tmp:0.0000  loss_tmp_GT:0.0000
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Iteration: 00000950/00170000  content_loss:0.0000  lap_loss:0.0586  rec_loss:0.0476  style_loss:1.0764  loss_tmp:0.0000  loss_tmp_GT:0.0000
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Iteration: 00000960/00170000  content_loss:0.0000  lap_loss:0.0972  rec_loss:0.0500  style_loss:1.1136  loss_tmp:0.0000  loss_tmp_GT:0.0000
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Iteration: 00000970/00170000  content_loss:0.0000  lap_loss:0.0356  rec_loss:0.0420  style_loss:0.6348  loss_tmp:0.0000  loss_tmp_GT:0.0000
Iteration: 00000980/00170000  content_loss:0.0000  lap_loss:0.0205  rec_loss:0.0249  style_loss:0.5146  loss_tmp:0.0000  loss_tmp_GT:0.0000
Iteration: 00000990/00170000  content_loss:0.0000  lap_loss:0.0550  rec_loss:0.0773  style_loss:1.2966  loss_tmp:0.0000  loss_tmp_GT:0.0000
Iteration: 00001000/00170000  content_loss:0.0000  lap_loss:0.0161  rec_loss:0.0211  style_loss:0.5363  loss_tmp:0.0000  loss_tmp_GT:0.0000
Iteration: 00001010/00170000  content_loss:0.0000  lap_loss:0.0257  rec_loss:0.0433  style_loss:0.4887  loss_tmp:0.0000  loss_tmp_GT:0.0000
Iteration: 00001020/00170000  content_loss:0.0000  lap_loss:0.0325  rec_loss:0.0391  style_loss:0.8880  loss_tmp:0.0000  loss_tmp_GT:0.0000
Iteration: 00001030/00170000  content_loss:0.0000  lap_loss:0.0645  rec_loss:0.0605  style_loss:1.0700  loss_tmp:0.0000  loss_tmp_GT:0.0000
Iteration: 00001040/00170000  content_loss:0.0000  lap_loss:0.0686  rec_loss:0.0471  style_loss:0.9108  loss_tmp:0.0000  loss_tmp_GT:0.0000
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Iteration: 00001050/00170000  content_loss:0.0000  lap_loss:0.0622  rec_loss:0.0660  style_loss:0.9986  loss_tmp:0.0000  loss_tmp_GT:0.0000
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Iteration: 00001060/00170000  content_loss:0.0000  lap_loss:0.0511  rec_loss:0.1008  style_loss:1.2093  loss_tmp:0.0000  loss_tmp_GT:0.0000
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
